,building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
11043,1249,1,2016-01-01 04:00:00,672.578,14,Office,159384,,,5.0,,-2.2,0.0,1019.0,290.0,3.1
11044,1249,2,2016-01-01 04:00:00,899.64,14,Office,159384,,,5.0,,-2.2,0.0,1019.0,290.0,3.1
11045,1249,3,2016-01-01 04:00:00,1008.24,14,Office,159384,,,5.0,,-2.2,0.0,1019.0,290.0,3.1
13337,1249,0,2016-01-01 05:00:00,284.0,14,Office,159384,,,4.4,,-2.2,0.0,1019.0,300.0,4.1
13338,1249,1,2016-01-01 05:00:00,576.014,14,Office,159384,,,4.4,,-2.2,0.0,1019.0,300.0,4.1
13339,1249,2,2016-01-01 05:00:00,1259.5,14,Office,159384,,,4.4,,-2.2,0.0,1019.0,300.0,4.1
13340,1249,3,2016-01-01 05:00:00,896.744,14,Office,159384,,,4.4,,-2.2,0.0,1019.0,300.0,4.1
15631,1249,0,2016-01-01 06:00:00,298.0,14,Office,159384,,,4.4,,-2.8,0.0,1018.5,300.0,2.6
15632,1249,1,2016-01-01 06:00:00,620.534,14,Office,159384,,,4.4,,-2.8,0.0,1018.5,300.0,2.6
15633,1249,2,2016-01-01 06:00:00,1139.54,14,Office,159384,,,4.4,,-2.8,0.0,1018.5,300.0,2.6
15634,1249,3,2016-01-01 06:00:00,1073.08,14,Office,159384,,,4.4,,-2.8,0.0,1018.5,300.0,2.6
17923,1249,0,2016-01-01 07:00:00,283.0,14,Office,159384,,,3.9,,-2.8,0.0,1018.0,300.0,3.6
17924,1249,1,2016-01-01 07:00:00,591.759,14,Office,159384,,,3.9,,-2.8,0.0,1018.0,300.0,3.6
17925,1249,2,2016-01-01 07:00:00,1259.5,14,Office,159384,,,3.9,,-2.8,0.0,1018.0,300.0,3.6
17926,1249,3,2016-01-01 07:00:00,1158.4,14,Office,159384,,,3.9,,-2.8,0.0,1018.0,300.0,3.6
20218,1249,0,2016-01-01 08:00:00,298.0,14,Office,159384,,,3.9,0.0,-3.3,0.0,1018.5,300.0,4.1
20219,1249,1,2016-01-01 08:00:00,590.303,14,Office,159384,,,3.9,0.0,-3.3,0.0,1018.5,300.0,4.1
20220,1249,2,2016-01-01 08:00:00,1319.47,14,Office,159384,,,3.9,0.0,-3.3,0.0,1018.5,300.0,4.1
20221,1249,3,2016-01-01 08:00:00,1068.49,14,Office,159384,,,3.9,0.0,-3.3,0.0,1018.5,300.0,4.1
22513,1249,0,2016-01-01 09:00:00,312.0,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,3.1
22514,1249,1,2016-01-01 09:00:00,633.603,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,3.1
22515,1249,2,2016-01-01 09:00:00,1379.45,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,3.1
22516,1249,3,2016-01-01 09:00:00,1026.08,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,3.1
24810,1249,0,2016-01-01 10:00:00,309.0,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
24811,1249,1,2016-01-01 10:00:00,777.582,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
24812,1249,2,2016-01-01 10:00:00,1259.5,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
24813,1249,3,2016-01-01 10:00:00,1011.93,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
27109,1249,0,2016-01-01 11:00:00,299.0,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
27110,1249,1,2016-01-01 11:00:00,689.795,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
27111,1249,2,2016-01-01 11:00:00,1019.59,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
27112,1249,3,2016-01-01 11:00:00,1122.04,14,Office,159384,,,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
29405,1249,0,2016-01-01 12:00:00,326.0,14,Office,159384,,,2.8,2.0,-3.3,0.0,1018.0,300.0,2.6
29406,1249,1,2016-01-01 12:00:00,722.756,14,Office,159384,,,2.8,2.0,-3.3,0.0,1018.0,300.0,2.6
29407,1249,2,2016-01-01 12:00:00,1319.47,14,Office,159384,,,2.8,2.0,-3.3,0.0,1018.0,300.0,2.6
29408,1249,3,2016-01-01 12:00:00,1079.53,14,Office,159384,,,2.8,2.0,-3.3,0.0,1018.0,300.0,2.6
31703,1249,0,2016-01-01 13:00:00,317.0,14,Office,159384,,,2.8,,-2.8,0.0,1018.5,270.0,1.5
31704,1249,1,2016-01-01 13:00:00,700.8,14,Office,159384,,,2.8,,-2.8,0.0,1018.5,270.0,1.5
31705,1249,2,2016-01-01 13:00:00,1139.54,14,Office,159384,,,2.8,,-2.8,0.0,1018.5,270.0,1.5
31706,1249,3,2016-01-01 13:00:00,963.587,14,Office,159384,,,2.8,,-2.8,0.0,1018.5,270.0,1.5
34000,1249,0,2016-01-01 14:00:00,306.0,14,Office,159384,,,3.3,,-2.8,0.0,1018.0,290.0,2.6
34001,1249,1,2016-01-01 14:00:00,647.021,14,Office,159384,,,3.3,,-2.8,0.0,1018.0,290.0,2.6
34002,1249,2,2016-01-01 14:00:00,1019.59,14,Office,159384,,,3.3,,-2.8,0.0,1018.0,290.0,2.6
34003,1249,3,2016-01-01 14:00:00,942.568,14,Office,159384,,,3.3,,-2.8,0.0,1018.0,290.0,2.6
36300,1249,0,2016-01-01 15:00:00,327.0,14,Office,159384,,,3.9,,-3.9,0.0,1018.5,300.0,2.6
36301,1249,1,2016-01-01 15:00:00,630.183,14,Office,159384,,,3.9,,-3.9,0.0,1018.5,300.0,2.6
36302,1249,2,2016-01-01 15:00:00,1199.52,14,Office,159384,,,3.9,,-3.9,0.0,1018.5,300.0,2.6
36303,1249,3,2016-01-01 15:00:00,876.746,14,Office,159384,,,3.9,,-3.9,0.0,1018.5,300.0,2.6
38597,1249,0,2016-01-01 16:00:00,338.0,14,Office,159384,,,3.9,,-3.3,0.0,1018.0,280.0,3.6
38598,1249,1,2016-01-01 16:00:00,756.806,14,Office,159384,,,3.9,,-3.3,0.0,1018.0,280.0,3.6
38599,1249,2,2016-01-01 16:00:00,1079.57,14,Office,159384,,,3.9,,-3.3,0.0,1018.0,280.0,3.6
38600,1249,3,2016-01-01 16:00:00,818.584,14,Office,159384,,,3.9,,-3.3,0.0,1018.0,280.0,3.6
40897,1249,0,2016-01-01 17:00:00,309.0,14,Office,159384,,,4.4,,-3.3,0.0,1017.0,290.0,5.1
40898,1249,1,2016-01-01 17:00:00,637.021,14,Office,159384,,,4.4,,-3.3,0.0,1017.0,290.0,5.1
40899,1249,2,2016-01-01 17:00:00,1199.52,14,Office,159384,,,4.4,,-3.3,0.0,1017.0,290.0,5.1
40900,1249,3,2016-01-01 17:00:00,928.378,14,Office,159384,,,4.4,,-3.3,0.0,1017.0,290.0,5.1
43195,1249,0,2016-01-01 18:00:00,331.0,14,Office,159384,,,3.9,,-3.9,0.0,1016.0,280.0,4.6
43196,1249,1,2016-01-01 18:00:00,659.995,14,Office,159384,,,3.9,,-3.9,0.0,1016.0,280.0,4.6
43197,1249,2,2016-01-01 18:00:00,1019.59,14,Office,159384,,,3.9,,-3.9,0.0,1016.0,280.0,4.6
43198,1249,3,2016-01-01 18:00:00,889.273,14,Office,159384,,,3.9,,-3.9,0.0,1016.0,280.0,4.6
45491,1249,0,2016-01-01 19:00:00,302.0,14,Office,159384,,,3.3,,-3.9,0.0,1016.0,300.0,5.1
45492,1249,1,2016-01-01 19:00:00,752.77,14,Office,159384,,,3.3,,-3.9,0.0,1016.0,300.0,5.1
45493,1249,2,2016-01-01 19:00:00,1139.54,14,Office,159384,,,3.3,,-3.9,0.0,1016.0,300.0,5.1
45494,1249,3,2016-01-01 19:00:00,843.519,14,Office,159384,,,3.3,,-3.9,0.0,1016.0,300.0,5.1
47789,1249,0,2016-01-01 20:00:00,318.0,14,Office,159384,,,3.9,,-5.0,0.0,1016.0,290.0,4.6
47790,1249,1,2016-01-01 20:00:00,664.562,14,Office,159384,,,3.9,,-5.0,0.0,1016.0,290.0,4.6
47791,1249,2,2016-01-01 20:00:00,1139.54,14,Office,159384,,,3.9,,-5.0,0.0,1016.0,290.0,4.6
47792,1249,3,2016-01-01 20:00:00,996.718,14,Office,159384,,,3.9,,-5.0,0.0,1016.0,290.0,4.6
50085,1249,0,2016-01-01 21:00:00,348.0,14,Office,159384,,,3.9,,-5.6,0.0,1015.5,300.0,4.1
50086,1249,1,2016-01-01 21:00:00,721.082,14,Office,159384,,,3.9,,-5.6,0.0,1015.5,300.0,4.1
50087,1249,2,2016-01-01 21:00:00,1079.57,14,Office,159384,,,3.9,,-5.6,0.0,1015.5,300.0,4.1
50088,1249,3,2016-01-01 21:00:00,971.919,14,Office,159384,,,3.9,,-5.6,0.0,1015.5,300.0,4.1
52381,1249,0,2016-01-01 22:00:00,309.0,14,Office,159384,,,3.3,,-6.1,0.0,1015.5,270.0,4.6
52382,1249,1,2016-01-01 22:00:00,681.026,14,Office,159384,,,3.3,,-6.1,0.0,1015.5,270.0,4.6
52383,1249,2,2016-01-01 22:00:00,1139.54,14,Office,159384,,,3.3,,-6.1,0.0,1015.5,270.0,4.6
52384,1249,3,2016-01-01 22:00:00,940.77,14,Office,159384,,,3.3,,-6.1,0.0,1015.5,270.0,4.6
54678,1249,0,2016-01-01 23:00:00,343.0,14,Office,159384,,,2.8,4.0,-6.1,0.0,1016.5,270.0,4.1
54679,1249,1,2016-01-01 23:00:00,577.809,14,Office,159384,,,2.8,4.0,-6.1,0.0,1016.5,270.0,4.1
54680,1249,2,2016-01-01 23:00:00,1199.52,14,Office,159384,,,2.8,4.0,-6.1,0.0,1016.5,270.0,4.1
54681,1249,3,2016-01-01 23:00:00,983.725,14,Office,159384,,,2.8,4.0,-6.1,0.0,1016.5,270.0,4.1
56977,1249,0,2016-01-02 00:00:00,342.0,14,Office,159384,,,2.8,,-6.1,0.0,1017.0,280.0,3.6
56978,1249,1,2016-01-02 00:00:00,544.277,14,Office,159384,,,2.8,,-6.1,0.0,1017.0,280.0,3.6
56979,1249,2,2016-01-02 00:00:00,1259.5,14,Office,159384,,,2.8,,-6.1,0.0,1017.0,280.0,3.6
56980,1249,3,2016-01-02 00:00:00,1164.43,14,Office,159384,,,2.8,,-6.1,0.0,1017.0,280.0,3.6
59273,1249,0,2016-01-02 01:00:00,317.0,14,Office,159384,,,2.2,4.0,-6.7,0.0,1017.5,290.0,3.1
59274,1249,1,2016-01-02 01:00:00,581.708,14,Office,159384,,,2.2,4.0,-6.7,0.0,1017.5,290.0,3.1
59275,1249,2,2016-01-02 01:00:00,1259.5,14,Office,159384,,,2.2,4.0,-6.7,0.0,1017.5,290.0,3.1
59276,1249,3,2016-01-02 01:00:00,1277.75,14,Office,159384,,,2.2,4.0,-6.7,0.0,1017.5,290.0,3.1
61570,1249,0,2016-01-02 02:00:00,315.0,14,Office,159384,,,1.1,0.0,-6.7,0.0,1018.0,280.0,3.1
61571,1249,1,2016-01-02 02:00:00,702.381,14,Office,159384,,,1.1,0.0,-6.7,0.0,1018.0,280.0,3.1
61572,1249,2,2016-01-02 02:00:00,1259.5,14,Office,159384,,,1.1,0.0,-6.7,0.0,1018.0,280.0,3.1
61573,1249,3,2016-01-02 02:00:00,1167.29,14,Office,159384,,,1.1,0.0,-6.7,0.0,1018.0,280.0,3.1
63867,1249,0,2016-01-02 03:00:00,311.0,14,Office,159384,,,1.1,0.0,-8.3,0.0,1017.5,270.0,2.1
63868,1249,1,2016-01-02 03:00:00,702.549,14,Office,159384,,,1.1,0.0,-8.3,0.0,1017.5,270.0,2.1
63869,1249,2,2016-01-02 03:00:00,1379.45,14,Office,159384,,,1.1,0.0,-8.3,0.0,1017.5,270.0,2.1
63870,1249,3,2016-01-02 03:00:00,1150.09,14,Office,159384,,,1.1,0.0,-8.3,0.0,1017.5,270.0,2.1
66165,1249,0,2016-01-02 04:00:00,297.0,14,Office,159384,,,0.6,0.0,-8.9,0.0,1018.0,300.0,3.6
66166,1249,1,2016-01-02 04:00:00,640.878,14,Office,159384,,,0.6,0.0,-8.9,0.0,1018.0,300.0,3.6
66167,1249,2,2016-01-02 04:00:00,1139.54,14,Office,159384,,,0.6,0.0,-8.9,0.0,1018.0,300.0,3.6
66168,1249,3,2016-01-02 04:00:00,1272.37,14,Office,159384,,,0.6,0.0,-8.9,0.0,1018.0,300.0,3.6
68460,1249,0,2016-01-02 05:00:00,324.0,14,Office,159384,,,-0.6,0.0,-8.3,0.0,1018.0,240.0,1.5
68461,1249,1,2016-01-02 05:00:00,658.353,14,Office,159384,,,-0.6,0.0,-8.3,0.0,1018.0,240.0,1.5
68462,1249,2,2016-01-02 05:00:00,1259.5,14,Office,159384,,,-0.6,0.0,-8.3,0.0,1018.0,240.0,1.5
68463,1249,3,2016-01-02 05:00:00,1209.37,14,Office,159384,,,-0.6,0.0,-8.3,0.0,1018.0,240.0,1.5
70758,1249,0,2016-01-02 06:00:00,317.0,14,Office,159384,,,0.0,0.0,-7.8,0.0,1018.0,270.0,3.1
70759,1249,1,2016-01-02 06:00:00,637.326,14,Office,159384,,,0.0,0.0,-7.8,0.0,1018.0,270.0,3.1
70760,1249,2,2016-01-02 06:00:00,1439.42,14,Office,159384,,,0.0,0.0,-7.8,0.0,1018.0,270.0,3.1
70761,1249,3,2016-01-02 06:00:00,1250.69,14,Office,159384,,,0.0,0.0,-7.8,0.0,1018.0,270.0,3.1
73053,1249,0,2016-01-02 07:00:00,314.0,14,Office,159384,,,0.6,0.0,-7.8,0.0,1018.0,280.0,3.6
73054,1249,1,2016-01-02 07:00:00,576.737,14,Office,159384,,,0.6,0.0,-7.8,0.0,1018.0,280.0,3.6
73055,1249,2,2016-01-02 07:00:00,1439.42,14,Office,159384,,,0.6,0.0,-7.8,0.0,1018.0,280.0,3.6
73056,1249,3,2016-01-02 07:00:00,1218.93,14,Office,159384,,,0.6,0.0,-7.8,0.0,1018.0,280.0,3.6
75350,1249,0,2016-01-02 08:00:00,291.0,14,Office,159384,,,0.6,0.0,-8.9,0.0,1018.0,320.0,2.1
75351,1249,1,2016-01-02 08:00:00,522.243,14,Office,159384,,,0.6,0.0,-8.9,0.0,1018.0,320.0,2.1
75352,1249,2,2016-01-02 08:00:00,1379.45,14,Office,159384,,,0.6,0.0,-8.9,0.0,1018.0,320.0,2.1
75353,1249,3,2016-01-02 08:00:00,1193.77,14,Office,159384,,,0.6,0.0,-8.9,0.0,1018.0,320.0,2.1
77647,1249,0,2016-01-02 09:00:00,302.0,14,Office,159384,,,0.6,0.0,-10.0,0.0,1017.5,300.0,3.1
77648,1249,1,2016-01-02 09:00:00,495.42,14,Office,159384,,,0.6,0.0,-10.0,0.0,1017.5,300.0,3.1
77649,1249,2,2016-01-02 09:00:00,1619.35,14,Office,159384,,,0.6,0.0,-10.0,0.0,1017.5,300.0,3.1
77650,1249,3,2016-01-02 09:00:00,1252.03,14,Office,159384,,,0.6,0.0,-10.0,0.0,1017.5,300.0,3.1
79945,1249,0,2016-01-02 10:00:00,322.0,14,Office,159384,,,0.0,0.0,-10.0,0.0,1018.0,300.0,3.1
79946,1249,1,2016-01-02 10:00:00,671.232,14,Office,159384,,,0.0,0.0,-10.0,0.0,1018.0,300.0,3.1
79947,1249,2,2016-01-02 10:00:00,1499.4,14,Office,159384,,,0.0,0.0,-10.0,0.0,1018.0,300.0,3.1
79948,1249,3,2016-01-02 10:00:00,1201.83,14,Office,159384,,,0.0,0.0,-10.0,0.0,1018.0,300.0,3.1
82243,1249,0,2016-01-02 11:00:00,316.0,14,Office,159384,,,0.6,,-10.0,0.0,1018.0,310.0,1.5
82244,1249,1,2016-01-02 11:00:00,621.652,14,Office,159384,,,0.6,,-10.0,0.0,1018.0,310.0,1.5
82245,1249,2,2016-01-02 11:00:00,1679.33,14,Office,159384,,,0.6,,-10.0,0.0,1018.0,310.0,1.5
82246,1249,3,2016-01-02 11:00:00,1157.43,14,Office,159384,,,0.6,,-10.0,0.0,1018.0,310.0,1.5
84542,1249,0,2016-01-02 12:00:00,342.0,14,Office,159384,,,0.0,,-9.4,0.0,1018.5,270.0,1.5
84543,1249,1,2016-01-02 12:00:00,684.736,14,Office,159384,,,0.0,,-9.4,0.0,1018.5,270.0,1.5
84544,1249,2,2016-01-02 12:00:00,1559.38,14,Office,159384,,,0.0,,-9.4,0.0,1018.5,270.0,1.5
84545,1249,3,2016-01-02 12:00:00,1171.56,14,Office,159384,,,0.0,,-9.4,0.0,1018.5,270.0,1.5
86840,1249,0,2016-01-02 13:00:00,367.0,14,Office,159384,,,0.0,,-8.9,0.0,1019.0,270.0,1.5
86841,1249,1,2016-01-02 13:00:00,649.835,14,Office,159384,,,0.0,,-8.9,0.0,1019.0,270.0,1.5
86842,1249,2,2016-01-02 13:00:00,1439.42,14,Office,159384,,,0.0,,-8.9,0.0,1019.0,270.0,1.5
86843,1249,3,2016-01-02 13:00:00,1200.34,14,Office,159384,,,0.0,,-8.9,0.0,1019.0,270.0,1.5
89140,1249,0,2016-01-02 14:00:00,326.0,14,Office,159384,,,1.1,0.0,-6.7,0.0,1019.0,,2.6
89141,1249,1,2016-01-02 14:00:00,702.721,14,Office,159384,,,1.1,0.0,-6.7,0.0,1019.0,,2.6
89142,1249,2,2016-01-02 14:00:00,1439.42,14,Office,159384,,,1.1,0.0,-6.7,0.0,1019.0,,2.6
89143,1249,3,2016-01-02 14:00:00,1112.3,14,Office,159384,,,1.1,0.0,-6.7,0.0,1019.0,,2.6
91440,1249,0,2016-01-02 15:00:00,380.0,14,Office,159384,,,1.7,0.0,-7.2,0.0,1019.5,260.0,4.6
91441,1249,1,2016-01-02 15:00:00,789.201,14,Office,159384,,,1.7,0.0,-7.2,0.0,1019.5,260.0,4.6
91442,1249,2,2016-01-02 15:00:00,1259.5,14,Office,159384,,,1.7,0.0,-7.2,0.0,1019.5,260.0,4.6
91443,1249,3,2016-01-02 15:00:00,818.394,14,Office,159384,,,1.7,0.0,-7.2,0.0,1019.5,260.0,4.6
93739,1249,0,2016-01-02 16:00:00,328.0,14,Office,159384,,,2.2,4.0,-7.2,0.0,1019.0,270.0,4.1
93740,1249,1,2016-01-02 16:00:00,823.739,14,Office,159384,,,2.2,4.0,-7.2,0.0,1019.0,270.0,4.1
93741,1249,2,2016-01-02 16:00:00,1259.5,14,Office,159384,,,2.2,4.0,-7.2,0.0,1019.0,270.0,4.1
93742,1249,3,2016-01-02 16:00:00,870.016,14,Office,159384,,,2.2,4.0,-7.2,0.0,1019.0,270.0,4.1
96039,1249,0,2016-01-02 17:00:00,373.0,14,Office,159384,,,3.3,4.0,-6.7,0.0,1018.0,310.0,4.6
96040,1249,1,2016-01-02 17:00:00,745.126,14,Office,159384,,,3.3,4.0,-6.7,0.0,1018.0,310.0,4.6
96041,1249,2,2016-01-02 17:00:00,1079.57,14,Office,159384,,,3.3,4.0,-6.7,0.0,1018.0,310.0,4.6
96042,1249,3,2016-01-02 17:00:00,777.216,14,Office,159384,,,3.3,4.0,-6.7,0.0,1018.0,310.0,4.6
98338,1249,0,2016-01-02 18:00:00,351.0,14,Office,159384,,,4.4,0.0,-6.7,0.0,1016.5,280.0,4.6
98339,1249,1,2016-01-02 18:00:00,827.197,14,Office,159384,,,4.4,0.0,-6.7,0.0,1016.5,280.0,4.6
98340,1249,2,2016-01-02 18:00:00,1079.57,14,Office,159384,,,4.4,0.0,-6.7,0.0,1016.5,280.0,4.6
98341,1249,3,2016-01-02 18:00:00,766.837,14,Office,159384,,,4.4,0.0,-6.7,0.0,1016.5,280.0,4.6
100638,1249,0,2016-01-02 19:00:00,315.0,14,Office,159384,,,5.0,0.0,-6.1,0.0,1015.5,270.0,4.1
100639,1249,1,2016-01-02 19:00:00,784.628,14,Office,159384,,,5.0,0.0,-6.1,0.0,1015.5,270.0,4.1
100640,1249,2,2016-01-02 19:00:00,1019.59,14,Office,159384,,,5.0,0.0,-6.1,0.0,1015.5,270.0,4.1
100641,1249,3,2016-01-02 19:00:00,885.007,14,Office,159384,,,5.0,0.0,-6.1,0.0,1015.5,270.0,4.1
102937,1249,0,2016-01-02 20:00:00,390.0,14,Office,159384,,,4.4,4.0,-6.1,0.0,1015.5,270.0,4.1
102938,1249,1,2016-01-02 20:00:00,742.817,14,Office,159384,,,4.4,4.0,-6.1,0.0,1015.5,270.0,4.1
102939,1249,2,2016-01-02 20:00:00,899.64,14,Office,159384,,,4.4,4.0,-6.1,0.0,1015.5,270.0,4.1
102940,1249,3,2016-01-02 20:00:00,859.527,14,Office,159384,,,4.4,4.0,-6.1,0.0,1015.5,270.0,4.1
105238,1249,0,2016-01-02 21:00:00,328.0,14,Office,159384,,,3.9,,-6.1,0.0,1015.5,300.0,4.1
105239,1249,1,2016-01-02 21:00:00,754.687,14,Office,159384,,,3.9,,-6.1,0.0,1015.5,300.0,4.1
105240,1249,2,2016-01-02 21:00:00,1019.59,14,Office,159384,,,3.9,,-6.1,0.0,1015.5,300.0,4.1
105241,1249,3,2016-01-02 21:00:00,932.804,14,Office,159384,,,3.9,,-6.1,0.0,1015.5,300.0,4.1
107538,1249,0,2016-01-02 22:00:00,343.0,14,Office,159384,,,3.9,2.0,-6.1,0.0,1016.0,310.0,2.6
107539,1249,1,2016-01-02 22:00:00,784.001,14,Office,159384,,,3.9,2.0,-6.1,0.0,1016.0,310.0,2.6
107540,1249,2,2016-01-02 22:00:00,959.616,14,Office,159384,,,3.9,2.0,-6.1,0.0,1016.0,310.0,2.6
107541,1249,3,2016-01-02 22:00:00,875.023,14,Office,159384,,,3.9,2.0,-6.1,0.0,1016.0,310.0,2.6
109838,1249,0,2016-01-02 23:00:00,327.0,14,Office,159384,,,2.8,0.0,-6.1,0.0,1016.0,300.0,1.5
109839,1249,1,2016-01-02 23:00:00,639.853,14,Office,159384,,,2.8,0.0,-6.1,0.0,1016.0,300.0,1.5
109840,1249,2,2016-01-02 23:00:00,1259.5,14,Office,159384,,,2.8,0.0,-6.1,0.0,1016.0,300.0,1.5
109841,1249,3,2016-01-02 23:00:00,1074.6,14,Office,159384,,,2.8,0.0,-6.1,0.0,1016.0,300.0,1.5
112138,1249,0,2016-01-03 00:00:00,334.0,14,Office,159384,,,1.1,0.0,-6.1,0.0,1016.5,0.0,0.0
112139,1249,1,2016-01-03 00:00:00,676.557,14,Office,159384,,,1.1,0.0,-6.1,0.0,1016.5,0.0,0.0
112140,1249,2,2016-01-03 00:00:00,1199.52,14,Office,159384,,,1.1,0.0,-6.1,0.0,1016.5,0.0,0.0
112141,1249,3,2016-01-03 00:00:00,1170.16,14,Office,159384,,,1.1,0.0,-6.1,0.0,1016.5,0.0,0.0
114435,1249,0,2016-01-03 01:00:00,341.0,14,Office,159384,,,1.1,0.0,-5.6,0.0,1016.0,0.0,0.0
114436,1249,1,2016-01-03 01:00:00,588.779,14,Office,159384,,,1.1,0.0,-5.6,0.0,1016.0,0.0,0.0
114437,1249,2,2016-01-03 01:00:00,1259.5,14,Office,159384,,,1.1,0.0,-5.6,0.0,1016.0,0.0,0.0
114438,1249,3,2016-01-03 01:00:00,950.379,14,Office,159384,,,1.1,0.0,-5.6,0.0,1016.0,0.0,0.0
116736,1249,0,2016-01-03 02:00:00,322.0,14,Office,159384,,,0.0,0.0,-6.1,0.0,1016.0,0.0,0.0
116737,1249,1,2016-01-03 02:00:00,568.429,14,Office,159384,,,0.0,0.0,-6.1,0.0,1016.0,0.0,0.0
116738,1249,2,2016-01-03 02:00:00,1259.5,14,Office,159384,,,0.0,0.0,-6.1,0.0,1016.0,0.0,0.0
116739,1249,3,2016-01-03 02:00:00,1063.25,14,Office,159384,,,0.0,0.0,-6.1,0.0,1016.0,0.0,0.0
119036,1249,0,2016-01-03 03:00:00,316.0,14,Office,159384,,,-1.1,0.0,-6.1,0.0,1015.5,300.0,2.1
119037,1249,1,2016-01-03 03:00:00,641.939,14,Office,159384,,,-1.1,0.0,-6.1,0.0,1015.5,300.0,2.1
119038,1249,2,2016-01-03 03:00:00,1079.57,14,Office,159384,,,-1.1,0.0,-6.1,0.0,1015.5,300.0,2.1
119039,1249,3,2016-01-03 03:00:00,1141.6,14,Office,159384,,,-1.1,0.0,-6.1,0.0,1015.5,300.0,2.1
121336,1249,0,2016-01-03 04:00:00,310.0,14,Office,159384,,,-0.6,0.0,-5.6,0.0,1015.0,270.0,1.5
121337,1249,1,2016-01-03 04:00:00,625.173,14,Office,159384,,,-0.6,0.0,-5.6,0.0,1015.0,270.0,1.5
121338,1249,2,2016-01-03 04:00:00,1259.5,14,Office,159384,,,-0.6,0.0,-5.6,0.0,1015.0,270.0,1.5
121339,1249,3,2016-01-03 04:00:00,1164.4,14,Office,159384,,,-0.6,0.0,-5.6,0.0,1015.0,270.0,1.5
123637,1249,0,2016-01-03 05:00:00,311.0,14,Office,159384,,,-1.7,0.0,-6.1,0.0,1014.5,0.0,0.0
123638,1249,1,2016-01-03 05:00:00,615.761,14,Office,159384,,,-1.7,0.0,-6.1,0.0,1014.5,0.0,0.0
123639,1249,2,2016-01-03 05:00:00,1319.47,14,Office,159384,,,-1.7,0.0,-6.1,0.0,1014.5,0.0,0.0
123640,1249,3,2016-01-03 05:00:00,1155.96,14,Office,159384,,,-1.7,0.0,-6.1,0.0,1014.5,0.0,0.0
