,timestamp,meter_reading,meter_type
63868,2016-01-02 03:00:00,702.549,chilledwater
63869,2016-01-02 03:00:00,1379.45,steam
63870,2016-01-02 03:00:00,1150.09,hotwater
66165,2016-01-02 04:00:00,297.0,electricity
66166,2016-01-02 04:00:00,640.878,chilledwater
66167,2016-01-02 04:00:00,1139.54,steam
66168,2016-01-02 04:00:00,1272.37,hotwater
68460,2016-01-02 05:00:00,324.0,electricity
68461,2016-01-02 05:00:00,658.353,chilledwater
68462,2016-01-02 05:00:00,1259.5,steam
68463,2016-01-02 05:00:00,1209.37,hotwater
70758,2016-01-02 06:00:00,317.0,electricity
70759,2016-01-02 06:00:00,637.326,chilledwater
70760,2016-01-02 06:00:00,1439.42,steam
70761,2016-01-02 06:00:00,1250.69,hotwater
73053,2016-01-02 07:00:00,314.0,electricity
73054,2016-01-02 07:00:00,576.737,chilledwater
73055,2016-01-02 07:00:00,1439.42,steam
73056,2016-01-02 07:00:00,1218.93,hotwater
75350,2016-01-02 08:00:00,291.0,electricity
75351,2016-01-02 08:00:00,522.243,chilledwater
75352,2016-01-02 08:00:00,1379.45,steam
75353,2016-01-02 08:00:00,1193.77,hotwater
77647,2016-01-02 09:00:00,302.0,electricity
77648,2016-01-02 09:00:00,495.42,chilledwater
77649,2016-01-02 09:00:00,1619.35,steam
77650,2016-01-02 09:00:00,1252.03,hotwater
79945,2016-01-02 10:00:00,322.0,electricity
79946,2016-01-02 10:00:00,671.232,chilledwater
79947,2016-01-02 10:00:00,1499.4,steam
79948,2016-01-02 10:00:00,1201.83,hotwater
82243,2016-01-02 11:00:00,316.0,electricity
82244,2016-01-02 11:00:00,621.652,chilledwater
82245,2016-01-02 11:00:00,1679.33,steam
82246,2016-01-02 11:00:00,1157.43,hotwater
84542,2016-01-02 12:00:00,342.0,electricity
84543,2016-01-02 12:00:00,684.736,chilledwater
84544,2016-01-02 12:00:00,1559.38,steam
84545,2016-01-02 12:00:00,1171.56,hotwater
86840,2016-01-02 13:00:00,367.0,electricity
86841,2016-01-02 13:00:00,649.835,chilledwater
86842,2016-01-02 13:00:00,1439.42,steam
86843,2016-01-02 13:00:00,1200.34,hotwater
89140,2016-01-02 14:00:00,326.0,electricity
89141,2016-01-02 14:00:00,702.721,chilledwater
89142,2016-01-02 14:00:00,1439.42,steam
89143,2016-01-02 14:00:00,1112.3,hotwater
91440,2016-01-02 15:00:00,380.0,electricity
91441,2016-01-02 15:00:00,789.201,chilledwater
91442,2016-01-02 15:00:00,1259.5,steam
91443,2016-01-02 15:00:00,818.394,hotwater
93739,2016-01-02 16:00:00,328.0,electricity
93740,2016-01-02 16:00:00,823.739,chilledwater
93741,2016-01-02 16:00:00,1259.5,steam
93742,2016-01-02 16:00:00,870.016,hotwater
96039,2016-01-02 17:00:00,373.0,electricity
96040,2016-01-02 17:00:00,745.126,chilledwater
96041,2016-01-02 17:00:00,1079.57,steam
96042,2016-01-02 17:00:00,777.216,hotwater
98338,2016-01-02 18:00:00,351.0,electricity
98339,2016-01-02 18:00:00,827.197,chilledwater
98340,2016-01-02 18:00:00,1079.57,steam
98341,2016-01-02 18:00:00,766.837,hotwater
100638,2016-01-02 19:00:00,315.0,electricity
100639,2016-01-02 19:00:00,784.628,chilledwater
100640,2016-01-02 19:00:00,1019.59,steam
100641,2016-01-02 19:00:00,885.007,hotwater
102937,2016-01-02 20:00:00,390.0,electricity
102938,2016-01-02 20:00:00,742.817,chilledwater
102939,2016-01-02 20:00:00,899.64,steam
102940,2016-01-02 20:00:00,859.527,hotwater
105238,2016-01-02 21:00:00,328.0,electricity
105239,2016-01-02 21:00:00,754.687,chilledwater
105240,2016-01-02 21:00:00,1019.59,steam
105241,2016-01-02 21:00:00,932.804,hotwater
107538,2016-01-02 22:00:00,343.0,electricity
107539,2016-01-02 22:00:00,784.001,chilledwater
107540,2016-01-02 22:00:00,959.616,steam
107541,2016-01-02 22:00:00,875.023,hotwater
109838,2016-01-02 23:00:00,327.0,electricity
109839,2016-01-02 23:00:00,639.853,chilledwater
109840,2016-01-02 23:00:00,1259.5,steam
109841,2016-01-02 23:00:00,1074.6,hotwater
112138,2016-01-03 00:00:00,334.0,electricity
112139,2016-01-03 00:00:00,676.557,chilledwater
112140,2016-01-03 00:00:00,1199.52,steam
112141,2016-01-03 00:00:00,1170.16,hotwater
114435,2016-01-03 01:00:00,341.0,electricity
114436,2016-01-03 01:00:00,588.779,chilledwater
114437,2016-01-03 01:00:00,1259.5,steam
114438,2016-01-03 01:00:00,950.379,hotwater
116736,2016-01-03 02:00:00,322.0,electricity
116737,2016-01-03 02:00:00,568.429,chilledwater
116738,2016-01-03 02:00:00,1259.5,steam
116739,2016-01-03 02:00:00,1063.25,hotwater
119036,2016-01-03 03:00:00,316.0,electricity
119037,2016-01-03 03:00:00,641.939,chilledwater
119038,2016-01-03 03:00:00,1079.57,steam
119039,2016-01-03 03:00:00,1141.6,hotwater
121336,2016-01-03 04:00:00,310.0,electricity
121337,2016-01-03 04:00:00,625.173,chilledwater
121338,2016-01-03 04:00:00,1259.5,steam
121339,2016-01-03 04:00:00,1164.4,hotwater
123637,2016-01-03 05:00:00,311.0,electricity
123638,2016-01-03 05:00:00,615.761,chilledwater
123639,2016-01-03 05:00:00,1319.47,steam
123640,2016-01-03 05:00:00,1155.96,hotwater
125937,2016-01-03 06:00:00,322.0,electricity
125938,2016-01-03 06:00:00,610.889,chilledwater
125939,2016-01-03 06:00:00,1259.5,steam
125940,2016-01-03 06:00:00,1227.11,hotwater
128239,2016-01-03 07:00:00,296.0,electricity
128240,2016-01-03 07:00:00,569.241,chilledwater
128241,2016-01-03 07:00:00,1439.42,steam
128242,2016-01-03 07:00:00,1212.74,hotwater
130541,2016-01-03 08:00:00,313.0,electricity
130542,2016-01-03 08:00:00,544.614,chilledwater
130543,2016-01-03 08:00:00,1499.4,steam
130544,2016-01-03 08:00:00,1152.01,hotwater
132842,2016-01-03 09:00:00,309.0,electricity
132843,2016-01-03 09:00:00,505.625,chilledwater
132844,2016-01-03 09:00:00,1499.4,steam
132845,2016-01-03 09:00:00,1181.01,hotwater
135142,2016-01-03 10:00:00,339.0,electricity
135143,2016-01-03 10:00:00,676.543,chilledwater
135144,2016-01-03 10:00:00,1379.45,steam
135145,2016-01-03 10:00:00,1215.99,hotwater
137438,2016-01-03 11:00:00,327.0,electricity
137439,2016-01-03 11:00:00,658.62,chilledwater
137440,2016-01-03 11:00:00,1559.38,steam
137441,2016-01-03 11:00:00,1177.27,hotwater
139738,2016-01-03 12:00:00,315.0,electricity
139739,2016-01-03 12:00:00,680.454,chilledwater
139740,2016-01-03 12:00:00,1559.38,steam
139741,2016-01-03 12:00:00,1001.0,hotwater
142040,2016-01-03 13:00:00,318.0,electricity
142041,2016-01-03 13:00:00,737.161,chilledwater
142042,2016-01-03 13:00:00,1319.47,steam
142043,2016-01-03 13:00:00,1062.83,hotwater
144341,2016-01-03 14:00:00,344.0,electricity
144342,2016-01-03 14:00:00,638.997,chilledwater
144343,2016-01-03 14:00:00,1319.47,steam
144344,2016-01-03 14:00:00,866.126,hotwater
146641,2016-01-03 15:00:00,314.0,electricity
146642,2016-01-03 15:00:00,774.927,chilledwater
146643,2016-01-03 15:00:00,959.616,steam
146644,2016-01-03 15:00:00,761.124,hotwater
148938,2016-01-03 16:00:00,343.0,electricity
148939,2016-01-03 16:00:00,756.247,chilledwater
148940,2016-01-03 16:00:00,959.616,steam
148941,2016-01-03 16:00:00,781.292,hotwater
151239,2016-01-03 17:00:00,324.0,electricity
151240,2016-01-03 17:00:00,723.736,chilledwater
151241,2016-01-03 17:00:00,899.64,steam
151242,2016-01-03 17:00:00,809.602,hotwater
153539,2016-01-03 18:00:00,346.0,electricity
153540,2016-01-03 18:00:00,769.891,chilledwater
153541,2016-01-03 18:00:00,959.616,steam
153542,2016-01-03 18:00:00,761.084,hotwater
155841,2016-01-03 19:00:00,306.0,electricity
155842,2016-01-03 19:00:00,682.451,chilledwater
155843,2016-01-03 19:00:00,719.712,steam
155844,2016-01-03 19:00:00,725.865,hotwater
158138,2016-01-03 20:00:00,361.0,electricity
158139,2016-01-03 20:00:00,848.735,chilledwater
158140,2016-01-03 20:00:00,899.64,steam
158141,2016-01-03 20:00:00,725.289,hotwater
160435,2016-01-03 21:00:00,348.0,electricity
160436,2016-01-03 21:00:00,704.34,chilledwater
160437,2016-01-03 21:00:00,1019.59,steam
160438,2016-01-03 21:00:00,835.768,hotwater
162731,2016-01-03 22:00:00,324.0,electricity
162732,2016-01-03 22:00:00,586.698,chilledwater
162733,2016-01-03 22:00:00,1139.54,steam
162734,2016-01-03 22:00:00,932.494,hotwater
165026,2016-01-03 23:00:00,362.0,electricity
165027,2016-01-03 23:00:00,563.625,chilledwater
165028,2016-01-03 23:00:00,899.64,steam
165029,2016-01-03 23:00:00,1082.48,hotwater
167326,2016-01-04 00:00:00,325.0,electricity
167327,2016-01-04 00:00:00,617.109,chilledwater
167328,2016-01-04 00:00:00,1199.52,steam
167329,2016-01-04 00:00:00,1070.71,hotwater
169623,2016-01-04 01:00:00,362.0,electricity
169624,2016-01-04 01:00:00,663.29,chilledwater
169625,2016-01-04 01:00:00,1139.54,steam
169626,2016-01-04 01:00:00,1032.72,hotwater
171924,2016-01-04 02:00:00,322.0,electricity
171925,2016-01-04 02:00:00,662.813,chilledwater
171926,2016-01-04 02:00:00,1199.52,steam
171927,2016-01-04 02:00:00,1279.58,hotwater
174223,2016-01-04 03:00:00,315.0,electricity
174224,2016-01-04 03:00:00,634.828,chilledwater
174225,2016-01-04 03:00:00,1259.5,steam
174226,2016-01-04 03:00:00,1275.1,hotwater
176522,2016-01-04 04:00:00,343.0,electricity
176523,2016-01-04 04:00:00,560.875,chilledwater
176524,2016-01-04 04:00:00,1319.47,steam
176525,2016-01-04 04:00:00,1278.05,hotwater
178818,2016-01-04 05:00:00,327.0,electricity
178819,2016-01-04 05:00:00,586.961,chilledwater
178820,2016-01-04 05:00:00,1259.5,steam
178821,2016-01-04 05:00:00,1191.63,hotwater
181111,2016-01-04 06:00:00,312.0,electricity
181112,2016-01-04 06:00:00,575.413,chilledwater
181113,2016-01-04 06:00:00,1379.45,steam
181114,2016-01-04 06:00:00,1117.57,hotwater
183403,2016-01-04 07:00:00,344.0,electricity
183404,2016-01-04 07:00:00,576.779,chilledwater
183405,2016-01-04 07:00:00,1379.45,steam
183406,2016-01-04 07:00:00,1230.24,hotwater
185698,2016-01-04 08:00:00,325.0,electricity
185699,2016-01-04 08:00:00,589.851,chilledwater
185700,2016-01-04 08:00:00,1379.45,steam
185701,2016-01-04 08:00:00,1167.09,hotwater
187988,2016-01-04 09:00:00,329.0,electricity
187989,2016-01-04 09:00:00,557.408,chilledwater
187990,2016-01-04 09:00:00,1499.4,steam
187991,2016-01-04 09:00:00,1163.08,hotwater
190282,2016-01-04 10:00:00,359.0,electricity
190283,2016-01-04 10:00:00,783.552,chilledwater
190284,2016-01-04 10:00:00,1319.47,steam
190285,2016-01-04 10:00:00,1211.71,hotwater
192576,2016-01-04 11:00:00,338.0,electricity
192577,2016-01-04 11:00:00,706.186,chilledwater
192578,2016-01-04 11:00:00,1259.5,steam
192579,2016-01-04 11:00:00,1153.59,hotwater
194869,2016-01-04 12:00:00,338.0,electricity
194870,2016-01-04 12:00:00,615.465,chilledwater
194871,2016-01-04 12:00:00,1499.4,steam
194872,2016-01-04 12:00:00,1073.1,hotwater
197164,2016-01-04 13:00:00,361.0,electricity
197165,2016-01-04 13:00:00,596.865,chilledwater
197166,2016-01-04 13:00:00,1559.38,steam
197167,2016-01-04 13:00:00,1174.37,hotwater
199460,2016-01-04 14:00:00,345.0,electricity
199461,2016-01-04 14:00:00,630.074,chilledwater
199462,2016-01-04 14:00:00,1439.42,steam
199463,2016-01-04 14:00:00,1194.51,hotwater
201755,2016-01-04 15:00:00,401.0,electricity
201756,2016-01-04 15:00:00,792.624,chilledwater
201757,2016-01-04 15:00:00,1439.42,steam
201758,2016-01-04 15:00:00,1120.72,hotwater
204051,2016-01-04 16:00:00,397.0,electricity
204052,2016-01-04 16:00:00,306.337,chilledwater
204053,2016-01-04 16:00:00,1439.42,steam
204054,2016-01-04 16:00:00,1116.77,hotwater
206350,2016-01-04 17:00:00,423.0,electricity
206351,2016-01-04 17:00:00,345.97,chilledwater
206352,2016-01-04 17:00:00,1019.59,steam
206353,2016-01-04 17:00:00,1181.2,hotwater
208650,2016-01-04 18:00:00,413.0,electricity
208651,2016-01-04 18:00:00,670.486,chilledwater
208652,2016-01-04 18:00:00,1019.59,steam
208653,2016-01-04 18:00:00,1205.25,hotwater
210953,2016-01-04 19:00:00,367.0,electricity
210954,2016-01-04 19:00:00,621.313,chilledwater
210955,2016-01-04 19:00:00,1259.5,steam
210956,2016-01-04 19:00:00,1065.24,hotwater
213256,2016-01-04 20:00:00,401.0,electricity
213257,2016-01-04 20:00:00,612.216,chilledwater
213258,2016-01-04 20:00:00,1079.57,steam
213259,2016-01-04 20:00:00,1037.93,hotwater
215558,2016-01-04 21:00:00,358.0,electricity
215559,2016-01-04 21:00:00,573.063,chilledwater
215560,2016-01-04 21:00:00,1139.54,steam
215561,2016-01-04 21:00:00,1108.81,hotwater
217859,2016-01-04 22:00:00,357.0,electricity
217860,2016-01-04 22:00:00,515.942,chilledwater
217861,2016-01-04 22:00:00,1139.54,steam
217862,2016-01-04 22:00:00,1203.43,hotwater
220160,2016-01-04 23:00:00,329.0,electricity
220161,2016-01-04 23:00:00,508.081,chilledwater
220162,2016-01-04 23:00:00,1319.47,steam
220163,2016-01-04 23:00:00,1234.19,hotwater
222460,2016-01-05 00:00:00,336.0,electricity
222461,2016-01-05 00:00:00,541.754,chilledwater
222462,2016-01-05 00:00:00,1199.52,steam
222463,2016-01-05 00:00:00,1308.63,hotwater
224758,2016-01-05 01:00:00,335.0,electricity
224759,2016-01-05 01:00:00,765.423,chilledwater
224760,2016-01-05 01:00:00,1139.54,steam
224761,2016-01-05 01:00:00,1291.63,hotwater
227059,2016-01-05 02:00:00,333.0,electricity
227060,2016-01-05 02:00:00,688.839,chilledwater
227061,2016-01-05 02:00:00,1499.4,steam
227062,2016-01-05 02:00:00,1239.25,hotwater
229359,2016-01-05 03:00:00,372.0,electricity
229360,2016-01-05 03:00:00,740.797,chilledwater
229361,2016-01-05 03:00:00,1019.59,steam
229362,2016-01-05 03:00:00,1221.81,hotwater
231658,2016-01-05 04:00:00,362.0,electricity
231659,2016-01-05 04:00:00,754.051,chilledwater
231660,2016-01-05 04:00:00,1199.52,steam
231661,2016-01-05 04:00:00,1221.39,hotwater
233958,2016-01-05 05:00:00,330.0,electricity
233959,2016-01-05 05:00:00,706.155,chilledwater
233960,2016-01-05 05:00:00,1259.5,steam
233961,2016-01-05 05:00:00,1270.26,hotwater
236259,2016-01-05 06:00:00,354.0,electricity
236260,2016-01-05 06:00:00,607.275,chilledwater
236261,2016-01-05 06:00:00,1319.47,steam
236262,2016-01-05 06:00:00,1273.11,hotwater
238557,2016-01-05 07:00:00,302.0,electricity
238558,2016-01-05 07:00:00,600.832,chilledwater
238559,2016-01-05 07:00:00,1319.47,steam
238560,2016-01-05 07:00:00,1360.98,hotwater
240856,2016-01-05 08:00:00,366.0,electricity
240857,2016-01-05 08:00:00,610.009,chilledwater
240858,2016-01-05 08:00:00,1259.5,steam
240859,2016-01-05 08:00:00,1322.27,hotwater
243152,2016-01-05 09:00:00,391.0,electricity
243153,2016-01-05 09:00:00,635.823,chilledwater
243154,2016-01-05 09:00:00,1439.42,steam
243155,2016-01-05 09:00:00,1399.78,hotwater
245448,2016-01-05 10:00:00,316.0,electricity
245449,2016-01-05 10:00:00,686.847,chilledwater
245450,2016-01-05 10:00:00,1319.47,steam
245451,2016-01-05 10:00:00,1437.24,hotwater
247742,2016-01-05 11:00:00,338.0,electricity
247743,2016-01-05 11:00:00,593.824,chilledwater
247744,2016-01-05 11:00:00,1739.3,steam
247745,2016-01-05 11:00:00,1359.55,hotwater
250040,2016-01-05 12:00:00,327.0,electricity
250041,2016-01-05 12:00:00,610.052,chilledwater
250042,2016-01-05 12:00:00,1439.42,steam
250043,2016-01-05 12:00:00,1387.22,hotwater
252337,2016-01-05 13:00:00,365.0,electricity
252338,2016-01-05 13:00:00,665.255,chilledwater
252339,2016-01-05 13:00:00,1499.4,steam
252340,2016-01-05 13:00:00,1457.19,hotwater
254632,2016-01-05 14:00:00,346.0,electricity
254633,2016-01-05 14:00:00,657.858,chilledwater
254634,2016-01-05 14:00:00,1379.45,steam
254635,2016-01-05 14:00:00,1384.38,hotwater
256928,2016-01-05 15:00:00,415.0,electricity
256929,2016-01-05 15:00:00,735.63,chilledwater
256930,2016-01-05 15:00:00,1379.45,steam
256931,2016-01-05 15:00:00,1263.79,hotwater
259225,2016-01-05 16:00:00,386.0,electricity
259226,2016-01-05 16:00:00,758.593,chilledwater
259227,2016-01-05 16:00:00,1499.4,steam
259228,2016-01-05 16:00:00,1206.79,hotwater
261523,2016-01-05 17:00:00,407.0,electricity
261524,2016-01-05 17:00:00,1047.33,chilledwater
261525,2016-01-05 17:00:00,1019.59,steam
261526,2016-01-05 17:00:00,1206.2,hotwater
263822,2016-01-05 18:00:00,426.0,electricity
263823,2016-01-05 18:00:00,929.391,chilledwater
263824,2016-01-05 18:00:00,1379.45,steam
263825,2016-01-05 18:00:00,1148.09,hotwater
266121,2016-01-05 19:00:00,381.0,electricity
266122,2016-01-05 19:00:00,929.811,chilledwater
266123,2016-01-05 19:00:00,1379.45,steam
266124,2016-01-05 19:00:00,1145.11,hotwater
268421,2016-01-05 20:00:00,366.0,electricity
268422,2016-01-05 20:00:00,950.207,chilledwater
268423,2016-01-05 20:00:00,1199.52,steam
268424,2016-01-05 20:00:00,1200.93,hotwater
270719,2016-01-05 21:00:00,390.0,electricity
270720,2016-01-05 21:00:00,1309.03,chilledwater
270721,2016-01-05 21:00:00,1259.5,steam
270722,2016-01-05 21:00:00,1097.07,hotwater
273018,2016-01-05 22:00:00,401.0,electricity
273019,2016-01-05 22:00:00,981.124,chilledwater
273020,2016-01-05 22:00:00,1139.54,steam
273021,2016-01-05 22:00:00,1164.91,hotwater
275315,2016-01-05 23:00:00,338.0,electricity
275316,2016-01-05 23:00:00,908.055,chilledwater
275317,2016-01-05 23:00:00,1379.45,steam
275318,2016-01-05 23:00:00,1197.59,hotwater
277612,2016-01-06 00:00:00,385.0,electricity
277613,2016-01-06 00:00:00,915.366,chilledwater
277614,2016-01-06 00:00:00,1379.45,steam
277615,2016-01-06 00:00:00,1306.77,hotwater
279908,2016-01-06 01:00:00,368.0,electricity
279909,2016-01-06 01:00:00,876.741,chilledwater
279910,2016-01-06 01:00:00,1259.5,steam
279911,2016-01-06 01:00:00,1392.93,hotwater
282207,2016-01-06 02:00:00,371.0,electricity
282208,2016-01-06 02:00:00,803.434,chilledwater
282209,2016-01-06 02:00:00,1439.42,steam
282210,2016-01-06 02:00:00,1362.59,hotwater
284506,2016-01-06 03:00:00,362.0,electricity
284507,2016-01-06 03:00:00,751.692,chilledwater
284508,2016-01-06 03:00:00,1259.5,steam
284509,2016-01-06 03:00:00,1366.96,hotwater
286805,2016-01-06 04:00:00,333.0,electricity
286806,2016-01-06 04:00:00,733.718,chilledwater
286807,2016-01-06 04:00:00,1499.4,steam
286808,2016-01-06 04:00:00,1320.56,hotwater
289107,2016-01-06 05:00:00,327.0,electricity
289108,2016-01-06 05:00:00,713.935,chilledwater
289109,2016-01-06 05:00:00,1499.4,steam
289110,2016-01-06 05:00:00,1324.31,hotwater
291405,2016-01-06 06:00:00,326.0,electricity
291406,2016-01-06 06:00:00,708.361,chilledwater
291407,2016-01-06 06:00:00,1319.47,steam
291408,2016-01-06 06:00:00,1310.45,hotwater
293701,2016-01-06 07:00:00,319.0,electricity
293702,2016-01-06 07:00:00,713.393,chilledwater
293703,2016-01-06 07:00:00,1559.38,steam
293704,2016-01-06 07:00:00,1466.04,hotwater
296000,2016-01-06 08:00:00,312.0,electricity
296001,2016-01-06 08:00:00,699.24,chilledwater
296002,2016-01-06 08:00:00,1679.33,steam
296003,2016-01-06 08:00:00,1404.57,hotwater
298295,2016-01-06 09:00:00,312.0,electricity
298296,2016-01-06 09:00:00,724.587,chilledwater
298297,2016-01-06 09:00:00,1439.42,steam
298298,2016-01-06 09:00:00,1416.73,hotwater
300586,2016-01-06 10:00:00,315.0,electricity
300587,2016-01-06 10:00:00,861.106,chilledwater
300588,2016-01-06 10:00:00,1559.38,steam
300589,2016-01-06 10:00:00,1420.96,hotwater
302880,2016-01-06 11:00:00,304.0,electricity
302881,2016-01-06 11:00:00,670.24,chilledwater
302882,2016-01-06 11:00:00,1619.35,steam
302883,2016-01-06 11:00:00,1434.21,hotwater
305175,2016-01-06 12:00:00,313.0,electricity
305176,2016-01-06 12:00:00,699.381,chilledwater
305177,2016-01-06 12:00:00,1619.35,steam
305178,2016-01-06 12:00:00,1424.69,hotwater
307470,2016-01-06 13:00:00,325.0,electricity
307471,2016-01-06 13:00:00,687.675,chilledwater
307472,2016-01-06 13:00:00,1679.33,steam
307473,2016-01-06 13:00:00,1472.93,hotwater
309764,2016-01-06 14:00:00,385.0,electricity
309765,2016-01-06 14:00:00,681.921,chilledwater
309766,2016-01-06 14:00:00,1499.4,steam
309767,2016-01-06 14:00:00,1477.06,hotwater
312059,2016-01-06 15:00:00,387.0,electricity
312060,2016-01-06 15:00:00,701.862,chilledwater
312061,2016-01-06 15:00:00,1439.42,steam
312062,2016-01-06 15:00:00,1408.42,hotwater
314358,2016-01-06 16:00:00,401.0,electricity
314359,2016-01-06 16:00:00,955.447,chilledwater
314360,2016-01-06 16:00:00,1319.47,steam
314361,2016-01-06 16:00:00,1247.82,hotwater
316659,2016-01-06 17:00:00,393.0,electricity
316660,2016-01-06 17:00:00,970.393,chilledwater
316661,2016-01-06 17:00:00,1379.45,steam
316662,2016-01-06 17:00:00,1260.56,hotwater
318959,2016-01-06 18:00:00,424.0,electricity
318960,2016-01-06 18:00:00,1094.89,chilledwater
318961,2016-01-06 18:00:00,1439.42,steam
318962,2016-01-06 18:00:00,1092.13,hotwater
321259,2016-01-06 19:00:00,413.0,electricity
321260,2016-01-06 19:00:00,553.404,chilledwater
321261,2016-01-06 19:00:00,1379.45,steam
321262,2016-01-06 19:00:00,1152.01,hotwater
